productCode;productName;MSRP
S10_1949;"1952 Alpine Renault 1300";214.30
S12_1108;"2001 Ferrari Enzo";207.80
S12_1099;"1968 Ford Mustang";194.57
S10_4698;"2003 Harley-Davidson Eagle Drag Bike";193.66
S12_3891;"1969 Ford Falcon";173.02
S18_1749;"1917 Grand Touring Sedan";170.00
S18_3232;"1992 Ferrari 360 Spider red";169.34
S18_2795;"1928 Mercedes-Benz SSK";168.75
S18_2238;"1998 Chrysler Plymouth Prowler";163.73
S18_1662;"1980s Black Hawk Helicopter";157.69
S12_3148;"1969 Corvair Monza";151.08
S12_2823;"2002 Suzuki XREO";150.62
S18_4721;"1957 Corvette Convertible";148.80
S10_4962;"1962 LanciaA Delta 16V";147.74
S18_3482;"1976 Ford Gran Torino";146.99
S18_4027;"1970 Triumph Spitfire";143.62
S18_1984;"1995 Honda Civic";142.25
S18_1129;"1993 Mazda RX-7";141.54
S18_3685;"1948 Porsche Type 356 Roadster";141.28
S24_3856;"1956 Porsche 356A Coupe";140.43
S12_1666;"1958 Setra Bus";136.67
S18_3140;"1903 Ford Model A";136.59
S10_4757;"1972 Alfa Romeo GTA";136.00
S18_2870;"1999 Indy 500 Monte Carlo SS";132.00
S24_2300;"1962 Volkswagen Microbus";127.79
S18_2325;"1932 Model A Ford J-Coupe";127.13
S18_1589;"1965 Aston Martin DB5";124.44
S24_2011;"18th century schooner";122.89
S18_2319;"1964 Mercedes Tour Bus";122.73
S18_4600;"1940s Ford truck";121.08
S10_2016;"1996 Moto Guzzi 1100i";118.94
S700_2834;"ATA: B757-300";118.65
S12_4473;"1957 Chevy Pickup";118.50
S24_4048;"1992 Porsche Cayenne Turbo Silver";118.28
S12_3380;"1968 Dodge Charger";117.44
S24_2887;"1952 Citroen-15CV";117.44
S18_1097;"1940 Ford Pickup Truck";116.67
S50_1392;"Diamond T620 Semi-Skirted Tanker";115.75
S12_4675;"1969 Dodge Charger";115.16
S24_1578;"1997 BMW R 1100 S";112.70
S24_1785;"1928 British Royal Navy Airplane";109.42
S18_3233;"1985 Toyota Supra";107.57
S24_3432;"2002 Chevy Corvette";107.08
S18_3856;"1941 Chevrolet Special Deluxe Cabriolet";105.87
S18_3136;"18th Century Vintage Horse Carriage";104.72
S18_1342;"1937 Lincoln Berline";102.74
S32_4485;"1974 Ducati 350 Mk3 Desmo";102.05
S18_2949;"1913 Ford Model T Speedster";101.31
S700_2824;"1982 Camaro Z28";101.15
S18_3259;"Collectable Wooden Train";100.84
